Rain in Iceland
rami
2007, 1000
2008, 1046
2009, 2206
2010, 2455
2011, 1233
2012, 2125
2013, 1315
2014, 1455
2015, 2452
2016, 1425
2017, 3135
2018, 2425
2019, 1000
2020, 1700
2021, 1534
2022, 1872
2023, 1304
2024, 1425
2025, 3135
2026, 2425
Keflavík
2007, 2526
2008, 1057
2009, 1065
2010, 1104
2011, 1213
2012, 1000
2013, 1325
2014, 2135
2015, 700
2016, 900
2017, 540
2018, 2425
2019, 1000
2020, 1700
2021, 1534
2022, 1872
2023, 1304
2024, 1425
2025, 3135
2026, 2425
Hafnarfjörður
2007, 1453
2008, 2035
2009, 1004
2010 ,2203
2011, 1233
2012, 960
2013, 1315
2014, 1255
2015, 1752
2016, 1425
2017, 3455
2018, 2425
2019, 1000
2020, 1700
2021, 1534
2022, 1872
2023, 1304
2024, 1425
2025, 3135
2026, 2425
Húsavík
2007, 2005
2008, 1412
2009, 2512
2010, 960
2011, 950
2012, 900
2013, 980
2014, 1050
2015, 1200
2016, 1425
2017, 3135
2018, 2425
2019, 1000
2020, 1700
2021, 1534
2022, 1872
2023, 1304
2024, 1425
2025, 3135
2026, 2425
Selfoss
2007, 1234
2008, 1370
2009, 850
2010, 1350
2011, 1642
2012, 1100
2013, 1000
2014, 978
2015, 1234
2016, 1475
2017, 1520
2018, 2425
2019, 1000
2020, 1700
2021, 1534
2022, 1872
2023, 1304
2024, 1425
2025, 3135
2026, 2425
